 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                    
 Date:  30. 5.    Time:  12: 0:53
 Units: L = cm   , T = days , M = mmol 



                               Node( 21)                      Node( 51)                      Node(151)                      Node(451)

         time         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp   
        105.9900      -93.80  0.3401  0.506E-01        -63.80  0.3415 -0.600E-01         21.06  0.4100 -0.207E+00       -114.95  0.1000 -0.156E+01
        106.9900      -97.41  0.3350  0.713E-01        -67.40  0.3350 -0.303E-01         17.31  0.4100 -0.209E+00       -123.08  0.0891 -0.701E+00
        107.9900     -100.62  0.3302  0.596E-01        -70.61  0.3289 -0.364E-01         14.15  0.4100 -0.208E+00       -128.63  0.0833 -0.466E+00
        108.9900     -104.99  0.3238  0.147E+00        -74.95  0.3207  0.447E-01          9.90  0.4100 -0.207E+00       -132.97  0.0787 -0.311E+00
        109.9900     -107.94  0.3194  0.623E-01        -77.93  0.3150 -0.140E-01          7.06  0.4100 -0.205E+00       -135.01  0.0765 -0.247E+00
        110.9900     -110.29  0.3158  0.287E-01        -80.28  0.3104 -0.335E-01          4.81  0.4100 -0.204E+00       -135.55  0.0761 -0.235E+00
        111.9900     -112.38  0.3126 -0.195E-01        -82.39  0.3063 -0.607E-01          2.74  0.4100 -0.203E+00       -136.02  0.0757 -0.229E+00
        112.9900     -108.74  0.3182 -0.798E+00        -78.93  0.3130 -0.557E+00          5.98  0.4100 -0.205E+00       -136.47  0.0754 -0.224E+00
        113.9900     -112.53  0.3124  0.138E+00        -82.49  0.3062  0.553E-01          2.58  0.4100 -0.204E+00       -136.89  0.0751 -0.219E+00
        114.9900     -116.11  0.3069  0.144E+00        -86.07  0.2993  0.729E-01         -0.87  0.4100 -0.202E+00       -137.26  0.0748 -0.216E+00
        115.9900     -119.06  0.3023  0.105E+00        -89.03  0.2936  0.365E-01         -3.69  0.4100 -0.200E+00       -137.58  0.0746 -0.213E+00
        116.9900     -121.31  0.2989  0.567E-01        -91.29  0.2893 -0.459E-02         -5.82  0.4100 -0.198E+00       -137.85  0.0744 -0.210E+00
        117.9900     -124.70  0.2937  0.153E+00        -94.65  0.2829  0.981E-01         -9.19  0.4100 -0.199E+00       -138.10  0.0742 -0.208E+00
        118.9900     -127.92  0.2887  0.150E+00        -97.86  0.2770  0.948E-01        -12.32  0.4100 -0.198E+00       -138.31  0.0740 -0.206E+00
        119.9900     -131.07  0.2839  0.156E+00       -101.00  0.2713  0.111E+00        -15.39  0.4100 -0.196E+00       -138.51  0.0739 -0.204E+00
        120.9900     -133.91  0.2795  0.137E+00       -103.84  0.2661  0.980E-01        -18.11  0.4100 -0.195E+00       -138.70  0.0737 -0.202E+00
        121.9900     -136.16  0.2761  0.944E-01       -106.11  0.2620  0.593E-01        -20.20  0.4100 -0.192E+00       -138.89  0.0736 -0.200E+00
        122.9900     -138.76  0.2723  0.124E+00       -108.69  0.2575  0.926E-01        -22.76  0.4100 -0.192E+00       -139.06  0.0735 -0.198E+00
        123.9900     -140.94  0.2690  0.914E-01       -110.88  0.2538  0.576E-01        -24.80  0.4100 -0.189E+00       -139.23  0.0733 -0.196E+00
        124.9900     -143.24  0.2657  0.104E+00       -113.17  0.2500  0.729E-01        -27.02  0.4100 -0.188E+00       -139.40  0.0732 -0.195E+00
        125.9900     -145.52  0.2623  0.927E-01       -115.45  0.2461  0.750E-01        -29.25  0.4100 -0.188E+00       -139.55  0.0731 -0.193E+00
        126.9900     -147.58  0.2592  0.823E-01       -117.52  0.2426  0.622E-01        -31.18  0.4100 -0.186E+00       -139.70  0.0730 -0.191E+00
        127.9900     -147.67  0.2591 -0.230E+00       -117.84  0.2421 -0.188E+00        -31.51  0.4100 -0.185E+00       -139.84  0.0729 -0.190E+00
        128.9900     -148.06  0.2585 -0.157E+00       -118.18  0.2415 -0.153E+00        -31.68  0.4100 -0.183E+00       -139.98  0.0728 -0.189E+00
        129.9900     -146.73  0.2605 -0.456E+00       -117.06  0.2434 -0.381E+00        -30.72  0.4100 -0.185E+00       -140.11  0.0727 -0.187E+00
        130.9900     -147.56  0.2593 -0.135E+00       -117.66  0.2424 -0.122E+00        -31.28  0.4100 -0.185E+00       -140.23  0.0726 -0.186E+00
        131.9900     -148.78  0.2574 -0.276E-01       -118.81  0.2405 -0.436E-01        -32.31  0.4100 -0.183E+00       -140.34  0.0725 -0.185E+00
        132.9900     -149.28  0.2567 -0.131E+00       -119.39  0.2395 -0.124E+00        -32.87  0.4100 -0.183E+00       -140.43  0.0724 -0.184E+00
        133.9900     -151.42  0.2535  0.923E-01       -121.35  0.2363  0.684E-01        -34.82  0.4100 -0.183E+00       -140.50  0.0724 -0.184E+00
        134.9900     -153.82  0.2502  0.123E+00       -123.70  0.2328  0.107E+00        -37.14  0.4100 -0.183E+00       -140.56  0.0723 -0.183E+00
        135.9900     -157.01  0.2459  0.202E+00       -126.80  0.2281  0.197E+00        -40.25  0.4100 -0.183E+00       -140.62  0.0723 -0.183E+00
        136.9900     -157.54  0.2451 -0.159E+00       -127.69  0.2268 -0.118E+00        -41.07  0.4100 -0.181E+00       -140.67  0.0723 -0.182E+00
        137.9900     -157.89  0.2447 -0.206E+00       -128.09  0.2262 -0.167E+00        -41.40  0.4100 -0.180E+00       -140.73  0.0722 -0.181E+00
        138.9900     -160.63  0.2409  0.140E+00       -130.48  0.2226  0.130E+00        -43.66  0.4100 -0.179E+00       -140.80  0.0722 -0.181E+00
        139.9900     -163.82  0.2366  0.201E+00       -133.57  0.2179  0.200E+00        -46.70  0.4100 -0.179E+00       -140.88  0.0721 -0.180E+00
        140.9900     -167.25  0.2319  0.226E+00       -136.93  0.2132  0.230E+00        -49.95  0.4099 -0.177E+00       -140.96  0.0721 -0.179E+00
        141.9900     -171.60  0.2261  0.304E+00       -141.12  0.2077  0.323E+00        -54.04  0.4099 -0.176E+00       -141.04  0.0720 -0.178E+00
        142.9900     -176.12  0.2206  0.322E+00       -145.53  0.2019  0.349E+00        -58.24  0.4099 -0.174E+00       -141.13  0.0719 -0.177E+00
        143.9900     -175.20  0.2217 -0.300E+00       -145.65  0.2017 -0.226E+00        -58.46  0.4099 -0.170E+00       -141.23  0.0719 -0.176E+00
        144.9900     -178.76  0.2174  0.171E+00       -148.43  0.1981  0.175E+00        -60.84  0.4099 -0.169E+00       -141.34  0.0718 -0.175E+00
        145.9900     -182.41  0.2130  0.227E+00       -151.92  0.1935  0.246E+00        -64.21  0.4098 -0.168E+00       -141.46  0.0717 -0.173E+00
        146.9900     -184.43  0.2106  0.110E+00       -154.19  0.1910  0.111E+00        -66.28  0.4098 -0.164E+00       -141.59  0.0716 -0.172E+00
        147.9900     -186.24  0.2084  0.795E-01       -156.07  0.1889  0.714E-01        -68.02  0.4098 -0.162E+00       -141.73  0.0715 -0.170E+00
        148.9900     -188.01  0.2063  0.712E-01       -157.85  0.1869  0.610E-01        -69.71  0.4098 -0.160E+00       -141.86  0.0714 -0.169E+00
        149.9900     -190.92  0.2027  0.164E+00       -160.49  0.1840  0.171E+00        -72.27  0.4098 -0.160E+00       -141.99  0.0713 -0.167E+00
        150.9900     -193.91  0.1995  0.168E+00       -163.42  0.1807  0.176E+00        -75.06  0.4097 -0.159E+00       -142.12  0.0712 -0.166E+00
        151.9900     -197.03  0.1963  0.175E+00       -166.48  0.1774  0.186E+00        -77.96  0.4097 -0.157E+00       -142.24  0.0711 -0.165E+00
        152.9900     -198.27  0.1950  0.253E-01       -168.18  0.1755  0.344E-01        -79.69  0.4097 -0.154E+00       -142.36  0.0710 -0.164E+00
        153.9900     -199.50  0.1937  0.188E-01       -169.46  0.1741  0.586E-02        -80.86  0.4096 -0.152E+00       -142.48  0.0709 -0.162E+00
        154.9900     -202.03  0.1911  0.105E+00       -171.67  0.1718  0.105E+00        -82.92  0.4096 -0.152E+00       -142.60  0.0708 -0.161E+00
        155.9900     -199.41  0.1938 -0.447E+00       -170.70  0.1727 -0.347E+00        -82.94  0.4096 -0.155E+00       -142.72  0.0707 -0.160E+00
        156.9900     -204.59  0.1885  0.175E+00       -173.93  0.1697  0.188E+00        -85.11  0.4096 -0.153E+00       -142.84  0.0707 -0.159E+00
        157.9900     -209.58  0.1834  0.269E+00       -178.42  0.1656  0.300E+00        -89.20  0.4095 -0.151E+00       -142.96  0.0706 -0.157E+00
        158.9900     -206.34  0.1867 -0.465E+00       -177.86  0.1661 -0.322E+00        -90.09  0.4095 -0.153E+00       -143.07  0.0705 -0.156E+00
        159.9900     -213.30  0.1795  0.242E+00       -182.17  0.1622  0.266E+00        -92.83  0.4094 -0.148E+00       -143.18  0.0704 -0.155E+00
        160.9900     -218.26  0.1749  0.264E+00       -186.85  0.1579  0.295E+00        -97.07  0.4093 -0.144E+00       -143.29  0.0703 -0.154E+00
        161.9900     -221.61  0.1721  0.178E+00       -190.55  0.1545  0.205E+00       -100.68  0.4092 -0.140E+00       -143.40  0.0702 -0.153E+00
        162.9900     -226.07  0.1683  0.210E+00       -194.72  0.1512  0.235E+00       -104.47  0.4091 -0.137E+00       -143.52  0.0702 -0.151E+00
        163.9900     -216.46  0.1764 -0.805E+00       -190.21  0.1548 -0.662E+00       -103.13  0.4091 -0.144E+00       -143.64  0.0701 -0.150E+00
        164.9900     -223.51  0.1704  0.946E-01       -192.97  0.1525  0.914E-01       -103.45  0.4091 -0.140E+00       -143.76  0.0700 -0.149E+00
        165.9900     -228.95  0.1658  0.217E+00       -197.46  0.1492  0.242E+00       -107.13  0.4090 -0.137E+00       -143.89  0.0699 -0.147E+00
