 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                    
 Date:  30. 5.    Time:  12: 0:52
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

      350  0.1059900E+03  0.14198E-01    5     1439    -4     1     T
      400  0.1069900E+03  0.35394E-01    5     1633    -4     1     T
      442  0.1079900E+03  0.51563E-01    6     1793    -4     1     T
      475  0.1089900E+03  0.57847E-01    7     1915    -4     1     T
      505  0.1099900E+03  0.94951E-01    5     2007    -4     1     T
      532  0.1109900E+03  0.10706E+00    5     2101    -4     1     T
      559  0.1119900E+03  0.61263E-01    4     2190    -4     1     T
      593  0.1129900E+03  0.72762E-01    5     2326    -4     1     T
      632  0.1139900E+03  0.50239E-01    5     2467    -4     1     T
      662  0.1149900E+03  0.65058E-01    4     2561    -4     1     T
      674  0.1159900E+03  0.73214E-01    4     2639    -4     1     T
      706  0.1169900E+03  0.73165E-01   10     2766    -4     1     T
      733  0.1179900E+03  0.54601E-01    6     2881    -4     1     T
      761  0.1189900E+03  0.97749E-01    9     2971    -4     1     T
      793  0.1199900E+03  0.44884E-01    4     3078    -4     1     T
      822  0.1209900E+03  0.70441E-01    3     3166    -4     1     T
      854  0.1219900E+03  0.11431E+00    3     3267    -4     1     T
      886  0.1229900E+03  0.59856E-01    7     3377    -4     1     T
      917  0.1239900E+03  0.61458E-01    8     3502    -4     1     T
      946  0.1249900E+03  0.90192E-01    6     3594    -4     1     T
      973  0.1259900E+03  0.20609E+00   23     3694    -4     1     T
      999  0.1269900E+03  0.10170E+00    4     3766    -4     1     T
     1030  0.1279900E+03  0.50505E-01    8     3901    -4     1     T
     1046  0.1289900E+03  0.13774E+00   24     3992    -4     1     T
     1076  0.1299900E+03  0.43732E-01    4     4111    -4     1     T
     1109  0.1309900E+03  0.40570E-01    6     4234    -4     1     T
     1123  0.1319900E+03  0.58218E-01    2     4324    -4     1     T
     1153  0.1329900E+03  0.38023E-01    3     4417    -4     1     T
     1170  0.1339900E+03  0.62956E-01    2     4500    -4     1     T
     1199  0.1349900E+03  0.10259E+00    9     4606    -4     1     T
     1215  0.1359900E+03  0.72084E-01    3     4699    -4     1     T
     1251  0.1369900E+03  0.51896E-01    4     4837    -4     1     T
     1285  0.1379900E+03  0.55346E-01    6     4959    -4     1     T
     1304  0.1389900E+03  0.63853E-01    6     5056    -4     1     T
     1335  0.1399900E+03  0.43507E-01    2     5165    -4     1     T
     1365  0.1409900E+03  0.81285E-01    2     5258    -4     1     T
     1397  0.1419900E+03  0.50835E-01    3     5376    -4     1     T
     1425  0.1429900E+03  0.14599E+00   30     5481    -4     1     T
     1461  0.1439900E+03  0.39106E-01    4     5603    -4     1     T
     1490  0.1449900E+03  0.68804E-01    3     5694    -4     1     T
     1522  0.1459900E+03  0.38561E-01    2     5801    -4     1     T
     1555  0.1469900E+03  0.59441E-01    5     5916    -4     1     T
     1567  0.1479900E+03  0.94881E-01    3     5975    -4     1     T
     1573  0.1489900E+03  0.30171E+00    6     6005    -4     1     T
     1581  0.1499900E+03  0.92813E-01    9     6072    -4     1     T
     1608  0.1509900E+03  0.12354E+00    5     6164    -4     1     T
     1640  0.1519900E+03  0.29449E-01    2     6270    -4     1     T
     1668  0.1529900E+03  0.68097E-01    2     6352    -4     1     T
     1693  0.1539900E+03  0.11280E+00    6     6415    -4     1     T
     1701  0.1549900E+03  0.15714E+00    9     6465    -4     1     T
     1733  0.1559900E+03  0.77863E-01    7     6576    -4     1     T
     1765  0.1569900E+03  0.55885E-01    2     6681    -4     1     T
     1792  0.1579900E+03  0.13042E+00    2     6753    -4     1     T
     1829  0.1589900E+03  0.44740E-01    3     6879    -4     1     T
     1863  0.1599900E+03  0.55210E-01    2     6994    -4     1     T
     1888  0.1609900E+03  0.12313E+00    5     7067    -4     1     T
     1912  0.1619900E+03  0.16523E+00    6     7128    -4     1     T
     1936  0.1629900E+03  0.12337E+00    8     7191    -4     1     T
     1973  0.1639900E+03  0.67852E-01    3     7320    -4     1     T
     1987  0.1649900E+03  0.11214E+00    2     7375    -4     1     T
     2011  0.1659900E+03  0.19740E+00    8     7440    -4     1     T
     2035  0.1669900E+03  0.10966E+00    4     7508    -4     1     T
     2061  0.1679900E+03  0.11442E+00    4     7582    -4     1     T
     2085  0.1689900E+03  0.15255E+00    4     7636    -4     1     T
     2111  0.1699900E+03  0.21363E+00    4     7704    -4     1     T
     2143  0.1709900E+03  0.11807E+00    2     7805    -4     1     T
     2154  0.1719900E+03  0.12017E+00    2     7845    -4     1     T
     2184  0.1729900E+03  0.83679E-01    5     7938    -4     1     T
     2193  0.1739900E+03  0.20114E+00    7     7983    -4     1     T
     2218  0.1749900E+03  0.98698E-01    2     8045    -4     1     T
     2241  0.1759900E+03  0.16450E+00    3     8096    -4     1     T
     2265  0.1769900E+03  0.15255E+00    3     8152    -4     1     T
     2288  0.1779900E+03  0.16450E+00    4     8208    -4     1     T
     2312  0.1789900E+03  0.14593E+00    2     8263    -4     1     T
     2335  0.1799900E+03  0.16450E+00    2     8309    -4     1     T
     2358  0.1809900E+03  0.16450E+00    2     8358    -4     1     T
     2381  0.1819900E+03  0.16450E+00    3     8405    -4     1     T
     2404  0.1829900E+03  0.16450E+00    2     8456    -4     1     T
     2427  0.1839900E+03  0.16450E+00    3     8504    -4     1     T
     2450  0.1849900E+03  0.16450E+00    2     8555    -4     1     T
     2473  0.1859900E+03  0.16450E+00    2     8602    -4     1     T
     2545  0.1869900E+03  0.56559E-01    4     8867    -4     1     T
     2585  0.1879900E+03  0.63587E-01    4     8998    -4     1     T
     2625  0.1889900E+03  0.91693E-01    4     9128    -4     1     T
     2638  0.1899900E+03  0.80128E-01    4     9186    -4     1     T
     2661  0.1909900E+03  0.16450E+00    2     9238    -4     1     T
     2684  0.1919900E+03  0.16450E+00    3     9288    -4     1     T
     2690  0.1929900E+03  0.18562E+00    4     9316    -4     1     T
     2718  0.1939900E+03  0.91841E-01    2     9390    -4     1     T
     2746  0.1949900E+03  0.15806E+00    4     9464    -4     1     T
     2752  0.1959900E+03  0.19800E+00    4     9487    -4     1     T
     2775  0.1969900E+03  0.16450E+00    2     9533    -4     1     T
     2798  0.1979900E+03  0.16450E+00    2     9581    -4     1     T
     2821  0.1989900E+03  0.16450E+00    2     9629    -4     1     T
     2844  0.1999900E+03  0.16450E+00    3     9679    -4     1     T
     2867  0.2009900E+03  0.16450E+00    3     9731    -4     1     T
     2890  0.2019900E+03  0.16450E+00    4     9784    -4     1     T
     2919  0.2029900E+03  0.63844E-01    7     9881    -4     1     T
     2984  0.2039900E+03  0.49300E-01    4    10124    -4     1     T
     3015  0.2049900E+03  0.81387E-01    6    10225    -4     1     T
     3043  0.2059900E+03  0.12263E+00    4    10313    -4     1     T
     3080  0.2069900E+03  0.25235E-01    2    10947     4     1     T
     3099  0.2079900E+03  0.10661E+00    6    11040     4     1     T
     3184  0.2089900E+03  0.44649E-01    4    11403    -4     1     T
     3243  0.2099900E+03  0.54328E-01    4    11834     4     1     T
     3259  0.2109900E+03  0.66537E-01    4    11897     4     1     T
     3268  0.2119900E+03  0.15837E+00    4    11932     4     1     T
     3277  0.2129900E+03  0.89100E-01    4    11977     4     1     T
     3305  0.2139900E+03  0.79873E-01    4    12056     4     1     T
     3335  0.2149900E+03  0.72184E-01    4    12146     4     1     T
     3359  0.2159900E+03  0.12337E+00    3    12202     4     1     T
     3684  0.2169900E+03  0.15932E-01    4    13879    -4     1     T
     3746  0.2179900E+03  0.40414E-01    2    14104    -4     1     T
     3770  0.2189900E+03  0.12337E+00    4    14164    -4     1     T
     3802  0.2199900E+03  0.10798E+00    2    14262    -4     1     T
     3812  0.2209900E+03  0.10607E+00    5    14307    -4     1     T
     3844  0.2219900E+03  0.51560E-01    6    14429    -4     1     T
     3892  0.2229900E+03  0.23967E-01    2    14933     4     1     T
     3919  0.2239900E+03  0.89382E-01    5    15007     4     1     T
     4083  0.2249900E+03  0.21800E-01    4    15716    -4     1     T
     4136  0.2259900E+03  0.54717E-01    2    15905    -4     1     T
     4173  0.2269900E+03  0.70918E-01    2    16023    -4     1     T
     4196  0.2279900E+03  0.16450E+00    2    16071    -4     1     T
     4224  0.2289900E+03  0.15040E+00    3    16145    -4     1     T
     4248  0.2299900E+03  0.16426E+00    2    16198    -4     1     T
     4254  0.2309900E+03  0.18562E+00    5    16227    -4     1     T
     4280  0.2319900E+03  0.88123E-01    6    16307    -4     1     T
     4322  0.2329900E+03  0.34107E-01    3    16652     4     1     T
     4352  0.2339900E+03  0.76397E-01    2    16831     4     1     T
     4376  0.2349900E+03  0.12337E+00    5    16895     4     1     T
     4460  0.2359900E+03  0.38633E-01    3    17255    -4     1     T
     4514  0.2369900E+03  0.21028E-01    3    17668     4     1     T
     4540  0.2379900E+03  0.10462E+00    4    17739     4     1     T
     4565  0.2389900E+03  0.10575E+00    4    17805     4     1     T
     4573  0.2399900E+03  0.14143E+00    5    17841     4     1     T
     4600  0.2409900E+03  0.82086E-01    3    17915     4     1     T
     4625  0.2419900E+03  0.10575E+00    4    17977     4     1     T
     4760  0.2429900E+03  0.16249E-01    5    18672    -4     1     T
     4796  0.2439900E+03  0.60681E-01    6    18831    -4     1     T
     4820  0.2449900E+03  0.77683E-01    3    18972     4     1     T
     4847  0.2459900E+03  0.91532E-01    4    19048     4     1     T
     4874  0.2469900E+03  0.11971E+00    4    19124     4     1     T
     4899  0.2479900E+03  0.13218E+00    4    19190     4     1     T
     4922  0.2489900E+03  0.16450E+00    3    19244     4     1     T
     4945  0.2499900E+03  0.16450E+00    4    19299     4     1     T
     5155  0.2509900E+03  0.86641E-02    5    20345    -4     1     T
     5239  0.2519900E+03  0.32324E-01    4    20692    -4     1     T
     5284  0.2529900E+03  0.72159E-01    4    20849    -4     1     T
     5315  0.2539900E+03  0.10696E+00    5    20945    -4     1     T
     5359  0.2549900E+03  0.15889E-01    2    21299     4     1     T
     5386  0.2559900E+03  0.15483E+00    5    21377     4     1     T
     5412  0.2569900E+03  0.88123E-01    4    21449     4     1     T
     5441  0.2579900E+03  0.65380E-01    4    21532     4     1     T
     5467  0.2589900E+03  0.16417E+00    4    21604     4     1     T
     5493  0.2599900E+03  0.88123E-01    2    21672     4     1     T
     5517  0.2609900E+03  0.12337E+00    4    21731     4     1     T
     5541  0.2619900E+03  0.15255E+00    2    21782     4     1     T
     5564  0.2629900E+03  0.16450E+00    2    21828     4     1     T
     5587  0.2639900E+03  0.16450E+00    3    21876     4     1     T
     5666  0.2649900E+03  0.26999E-01    5    22208    -4     1     T
     5704  0.2659900E+03  0.53547E-01    5    22337    -4     1     T
     5748  0.2669900E+03  0.49540E-01    4    22590     4     1     T
     5855  0.2679900E+03  0.18856E-01    5    23065    -4     1     T
     5912  0.2689900E+03  0.36074E-01    3    23288    -4     1     T
     5956  0.2699900E+03  0.31984E-01    2    23552     4     1     T
     5981  0.2709900E+03  0.11442E+00    4    23620     4     1     T
     6004  0.2719900E+03  0.16450E+00    4    23676     4     1     T
     6027  0.2729900E+03  0.16450E+00    3    23726     4     1     T
     6050  0.2739900E+03  0.16450E+00    3    23777     4     1     T
     6073  0.2749900E+03  0.16450E+00    2    23824     4     1     T
     6096  0.2759900E+03  0.16450E+00    2    23870     4     1     T
