 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                    
 Date:  30. 5.    Time:  12: 0:52
 Units: L = cm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

     105.9900  0.67999E-01  0.20629E+00  0.68101E-01  0.18767E+00 -0.34630E+01  0.64617E-01  0.20488E+00  0.64623E-01  0.18543E+00 -0.41246E+02 -0.11382E+03 -0.44430E+02  0.00000E+00  0.00000E+00  0.17998E-05  0.18847E+03  0.57944E-02  0.70417E-01    350  0.00000E+00      0.000
     106.9900  0.82662E-01  0.25044E+00  0.82763E-01  0.23016E+00 -0.15216E+01  0.14713E+00  0.45488E+00  0.14713E+00  0.41409E+00 -0.43592E+02 -0.11744E+03 -0.48814E+02  0.00000E+00  0.00000E+00  0.17998E-05  0.18582E+03  0.84260E-02  0.15556E+00    400  0.00000E+00      0.000
     107.9900  0.72547E-01  0.21998E+00  0.72554E-01  0.20382E+00 -0.85088E+00  0.21978E+00  0.67516E+00  0.21978E+00  0.61740E+00 -0.44669E+02 -0.12065E+03 -0.51581E+02  0.00000E+00  0.00000E+00  0.17998E-05  0.18447E+03  0.11058E-01  0.23083E+00    442  0.00000E+00      0.000
     108.9900  0.12719E+00  0.38449E+00  0.12707E+00  0.35990E+00 -0.67981E+00  0.34642E+00  0.10580E+01  0.34640E+00  0.97408E+00 -0.45419E+02 -0.12504E+03 -0.55018E+02  0.00000E+00  0.00000E+00  0.17998E-05  0.18324E+03  0.13689E-01  0.36009E+00    475  0.00000E+00      0.000
     109.9900  0.61826E-01  0.23829E+00  0.61865E-01  0.22448E+00 -0.46731E+00  0.40890E+00  0.12978E+01  0.40890E+00  0.11993E+01 -0.45987E+02 -0.12797E+03 -0.57223E+02  0.00000E+00  0.00000E+00  0.17998E-05  0.18238E+03  0.41396E-01  0.45029E+00    505  0.00000E+00      0.000
     110.9900  0.30507E-01  0.17642E+00  0.30523E-01  0.16700E+00 -0.36040E+00  0.43972E+00  0.14748E+01  0.43974E+00  0.13665E+01 -0.46421E+02 -0.13030E+03 -0.58972E+02  0.00000E+00  0.00000E+00  0.17998E-05  0.18175E+03  0.82295E-01  0.52204E+00    532  0.00000E+00      0.000
     111.9900 -0.42131E-01  0.21936E+00 -0.42186E-01  0.20855E+00 -0.31941E+00  0.39832E+00  0.16937E+01  0.39835E+00  0.15742E+01 -0.46758E+02 -0.13237E+03 -0.60619E+02  0.00000E+00  0.54684E-04  0.14431E-03  0.18125E+03  0.21752E+00  0.61586E+00    559  0.00000E+00      0.000
     112.9900 -0.96887E+00  0.15088E+00 -0.96886E+00  0.14247E+00 -0.23900E+00 -0.56128E+00  0.18453E+01 -0.56120E+00  0.17178E+01 -0.47026E+02 -0.12834E+03 -0.58456E+02  0.00000E+00  0.00000E+00  0.26942E-03  0.18179E+03  0.12600E+01  0.69876E+00    593  0.00000E+00      0.000
